CARACTERES,ITERACOES,NOS,TAMANHO_TEXTO
1,3,1,34
10,121,19,46
2,10,3,58
3,19,5,67
4,30,7,76
5,43,9,85
6,56,11,94
7,72,13,104
8,87,15,115
9,104,17,126
34,637,67,138
85,2087,169,151
145,3905,289,166
56,1223,111,182
87,2135,173,197
91,2214,181,212
92,2259,183,227
161,4503,321,242
83,1989,165,258
82,1941,163,273
89,2155,177,288
157,4334,313,303
91,2274,181,319
250,7512,499,334
83,2000,165,350
125,3277,249,365
